Year,Month,Total Number of Calls,Total Number of Doctors Consultancy,Number of Total Health Information,Number of Total Ambulance Information,Number of Total Complaints,Number of Calls To Know About The Service
2025,Feb,155200,98964,3777,5773,3706,42980
2025,Jan,130982,87815,3217,4179,3178,32593
2024,Dec,133725,86832,3634,3735,3035,36489
2024,Nov,153698,93710,3010,4421,4133,48424
2024,Oct,214604,108207,6307,5792,8885,80804
2024,Sept,157686,94893,3683,5685,4286,40889
2024,Aug,168418,100902,6435,6628,5267,41964
2024,July,190861,121500,5444,7501,5040,51376
2024,June,169089,111573,6774,8330,5414,36998
2024,May,149502,102415,4982,8173,5037,28895
2024,Apr,159063,109818,5448,7639,5398,30760
2024,Mar,154481,105891,5840,8031,5659,29060
2024,Feb,132505,93147,4486,6559,4019,24294
2024,Jan,158854,113016,4799,8162,5054,27823
2023,Dec,161004,114844,5204,8269,5367,27320
2023,Nov,162097,111330,6555,8891,6442,28879
2023,Oct,205364,131645,9844,9918,10736,43221
2023,Sept,201880,142769,8240,12076,6794,32001
2023,Aug,203224,147923,7233,11545,7210,29313
2023,July,146616,95347,7062,7338,5376,31493
2023,June,125119,77093,6942,6663,4810,29611
2023,May,119520,76269,5610,6283,4759,26599
2023,Apr,116403,75803,5282,5836,4319,25163
2023,Mar,113573,75691,4871,4824,4258,23929
2023,Feb,101276,67396,4594,4453,4182,20651
2023,Jan,98022,64535,4981,4734,3757,20015
2022,Dec,92283,60055,4310,4594,4075,19249
2022,Nov,105178,68375,4821,4505,4174,23303
2022,Oct,124081,80186,6155,5073,5070,27597
2022,Sept,136822,87695,6442,5280,7639,29766
2022,Aug,143461,96837,7335,5556,5184,28549
2022,July,146040,104169,5172,5447,4406,26846
2022,June,177389,118428,7651,7710,6532,37068
2022,May,158578,103472,7353,7340,6203,34210
2022,Apr,161798,103252,7803,9412,6351,34980
2022,Mar,216520,138630,9757,7979,9921,50233
2022,Feb,252123,161242,12787,9257,12808,56029
2022,Jan,280516,184392,13216,10236,11826,60846
2021,Dec,182029,111973,9631,8426,9397,42602
2021,Nov,182042,113548,9080,8276,10041,41097
2021,Oct,227700,136848,12297,11210,12459,54886
2021,Sept,288398,178641,15573,13135,15116,65933
2021,Aug,406648,249107,23167,15101,22696,96577
2021,July,481426,317315,22733,16566,20707,104105
2021,June,304620,189965,15645,17192,11551,70267
2021,May,261009,150591,15162,17212,12106,65938
2021,Apr,321849,203847,14749,14905,14055,74293
2021,Mar,258788,159314,7667,17505,13494,60808
2021,Feb,222444,132133,8152,16789,11497,53873
2021,Jan,215326,116796,9038,20738,10416,58338
2020,Dec,217124,84535,16955,19553,10975,85106
2020,Nov,297991,121553,24410,31108,15993,104927
2020,Oct,375495,163189,32425,42829,21391,115661
2020,Sept,437096,186377,38071,45343,25122,142183
2020,Aug,489118,222942,42665,47209,22663,153639
2020,July,1481877,978094,108363,55451,40752,299217
2020,June,2329457,1703100,173306,63329,47288,342434
2020,May,1972173,1522832,63111,58615,30241,297374
2020,Apr,2021926,1458085,103695,91751,49996,318399
2020,Mar,1206116,802195,96832,53197,59760,194132
2020,Feb,75441,38162,9845,628,582,26224
2020,Jan,74518,39216,10475,650,641,23536
2019,Dec,75181,38559,10492,768,645,24717
2019,Nov,97104,51809,12112,933,794,31456
2019,Oct,95723,54081,13123,1074,891,26554
2019,Sept,107937,60838,14843,1258,1081,29917
2019,Aug,150908,76208,20186,1859,1692,50963
2019,July,104682,57844,13305,921,871,31741
2019,June,108310,58899,12937,944,988,34542
2019,May,105308,60798,13205,911,829,29565
2019,Apr,107589,56656,13277,914,976,35766
2019,Mar,97763,59498,12198,808,800,24459
2019,Feb,85002,53695,11028,637,676,18966
2019,Jan,85355,54771,11140,671,578,18195
2018,Dec,85514,56711,10995,636,551,16621
2018,Nov,100818,66692,12117,758,781,20470
2018,Oct,124640,79248,15372,1065,1007,27948
2018,Sept,96148,66020,11250,788,729,17361
2018,Aug,100730,67326,12982,857,700,18865
2018,July,112617,79303,11839,816,723,19936
2018,June,104566,76834,11755,689,788,14500
2018,May,90328,62519,11515,704,964,14626
2018,Apr,84386,57144,10973,599,742,14928
2018,Mar,100355,69593,12566,578,777,16841
2018,Feb,87493,59498,11518,592,694,15191
2018,Jan,69973,50665,9395,353,373,9187
2017,Dec,75279,54367,10303,368,469,9772
2017,Nov,78274,56864,10288,352,474,10296
2017,Oct,88852,64196,11306,575,593,12182
2017,Sept,135247,98876,14984,1500,1230,18657
2017,Aug,209179,144087,26461,3649,2741,32241
2017,July,84562,57021,11227,395,512,15407
2017,June,83099,60437,10841,334,327,11160
2017,May,72436,51541,9051,379,394,11071
2017,Apr,70740,48846,9911,422,488,11073
2017,Mar,71077,47523,9893,603,590,12468
2017,Feb,65846,43645,9115,668,528,11890
2017,Jan,75328,51935,9861,635,525,12372
2016,Dec,153487,114676,17823,996,294,19698
2016,Nov,130215,94646,15732,1144,358,18335
2016,Oct,136981,101289,15851,1075,350,18416
2016,Sept,132225,101837,14408,1038,412,14530
2016,Aug,142400,112831,12184,980,340,16065
2016,July,145061,116686,11831,922,404,15218
2016,June,186433,152580,14887,856,473,17637
2016,May,166635,137326,12118,925,439,15827
2016,Apr,51432,43885,3175,220,77,4075
